iter	MultiClass
0	2.529514168
1	2.318613693
2	2.225807453
3	2.13154332
4	2.04440312
5	1.957932026
6	1.883965022
7	1.809380642
8	1.761581345
9	1.703555428
10	1.662475182
11	1.619090381
12	1.56979587
13	1.520100345
14	1.476229118
15	1.435756078
16	1.40257201
17	1.368560627
18	1.338834633
19	1.303136573
20	1.277149179
21	1.242783198
22	1.213017023
23	1.186142431
24	1.157962219
25	1.128594583
26	1.106530307
27	1.081187501
28	1.051634771
29	1.027939492
30	1.00351492
31	0.9829645914
32	0.9651194161
33	0.9554737269
34	0.9360964926
35	0.9176191855
36	0.9041996291
37	0.8870092555
38	0.8730602792
39	0.8600364341
40	0.8494748327
41	0.8310115032
42	0.8141127615
43	0.8063340519
44	0.7946301481
45	0.7812471291
46	0.7727399038
47	0.7591803408
48	0.7508872027
49	0.7398443138
50	0.7253345955
51	0.7183548057
52	0.7126723678
53	0.7043609449
54	0.6992564419
55	0.6914954384
56	0.6871136621
57	0.6791762979
58	0.6690411638
59	0.6666208617
60	0.6574171139
61	0.642715908
62	0.6336952205
63	0.6294822375
64	0.6195342897
65	0.610994661
66	0.6054118396
67	0.598692796
68	0.5916473203
69	0.5861467901
70	0.578954721
71	0.5731322728
72	0.5669969877
73	0.5624473341
74	0.5565157199
75	0.5508756405
76	0.5427341897
77	0.5359223933
78	0.5316123075
79	0.5296154956
80	0.5234927854
81	0.516133193
82	0.5113389878
83	0.5087241453
84	0.5039752651
85	0.5016057758
86	0.4981636027
87	0.4919960541
88	0.4868162092
89	0.4836001615
90	0.4796651691
91	0.4762762577
92	0.4734012464
93	0.4705803935
94	0.4638076209
95	0.4586789164
96	0.4563270393
97	0.451795244
98	0.4478920072
99	0.4448162664
100	0.4400250167
101	0.4377578875
102	0.4345865346
103	0.4319261964
104	0.4289166816
105	0.4240403331
106	0.420035149
107	0.4171487286
108	0.4124317156
109	0.4078970641
110	0.4059303718
111	0.4017550846
112	0.3990488759
113	0.3954303112
114	0.3928363423
115	0.3892397795
116	0.3847710564
117	0.3821981758
118	0.3806532489
119	0.3770386589
120	0.373802826
121	0.3712565043
122	0.369756248
123	0.3674664369
124	0.364952983
125	0.3624577485
126	0.3606774221
127	0.3564362598
128	0.3552213959
129	0.353559367
130	0.3511091258
131	0.349674633
132	0.3459830213
133	0.3423829255
134	0.3378451857
135	0.3355139396
136	0.3337163697
137	0.3304605442
138	0.3283104216
139	0.3257608416
140	0.3240788131
141	0.3222838595
142	0.3198887542
143	0.3169719465
144	0.3153388539
145	0.3127585785
146	0.3099082511
147	0.3073517054
148	0.3059022407
149	0.3048803675
150	0.3032947886
151	0.3005072597
152	0.2969536668
153	0.2958576211
154	0.2941002059
155	0.2914335226
156	0.289827806
157	0.2882610431
158	0.2843053244
159	0.2835661288
160	0.2820035732
161	0.2803642724
162	0.2793824945
163	0.277431615
164	0.2761000265
165	0.2737689243
166	0.2720625958
167	0.2708213302
168	0.2697412967
169	0.2685753115
170	0.2666241124
171	0.2648463158
172	0.2637908521
173	0.2631434542
174	0.2622391876
175	0.2611463549
176	0.2605516876
177	0.2596085879
178	0.2574462397
179	0.2563013805
180	0.2553990341
181	0.253702362
182	0.2530810369
183	0.2512398585
184	0.2500567183
185	0.2482765428
186	0.2460991326
187	0.2451215975
188	0.2443157811
189	0.2426638741
190	0.2419348735
191	0.2406636413
192	0.2382087513
193	0.2373998844
194	0.2352065887
195	0.2342629401
196	0.2328220693
197	0.2309409222
198	0.2301518145
199	0.2283514328
