iter	Passed	Remaining
0	35	3500
1	55	2698
2	69	2236
3	80	1922
4	91	1741
5	102	1611
6	113	1510
7	125	1439
8	136	1384
9	147	1331
10	158	1280
11	170	1249
12	182	1220
13	193	1186
14	204	1156
15	214	1127
16	225	1101
17	236	1079
18	247	1056
19	258	1034
20	268	1011
21	280	992
22	294	985
23	304	964
24	314	944
25	325	926
26	336	909
27	346	890
28	356	873
29	367	858
30	378	841
31	388	826
32	399	810
33	410	796
34	420	781
35	431	766
36	441	752
37	453	739
38	465	728
39	477	715
40	487	702
41	498	688
42	509	674
43	519	661
44	529	646
45	539	633
46	549	619
47	559	605
48	569	592
49	580	580
50	589	566
51	600	554
52	611	541
53	621	529
54	631	516
55	642	504
56	653	492
57	662	479
58	673	468
59	684	456
60	694	444
61	703	431
62	714	419
63	725	408
64	736	396
65	746	384
66	756	372
67	767	361
68	778	349
69	789	338
70	799	326
71	810	315
72	825	305
73	843	296
74	860	286
75	879	277
76	899	268
77	914	258
78	928	246
79	942	235
80	953	223
81	964	211
82	976	199
83	988	188
84	999	176
85	1011	164
86	1024	153
87	1035	141
88	1047	129
89	1060	117
90	1069	105
91	1078	93
92	1089	82
93	1100	70
94	1110	58
95	1121	46
96	1131	34
97	1142	23
98	1154	11
99	1164	0
